feature,importance
bene_cc_ph_cancer6_v2_pct,2.6776701914920396
srvcs_per_bene_lag1,2.3279927464709496
bene_dual_share_specialty_year_median,2.049865043452531
pymt_amt_per_bene_specialty_year_median,1.9897837215300676
alowd_to_pymt_ratio,1.9183733161456258
alowd_amt_per_bene_specialty_year_median,1.8825168094999498
ph_condition_pct_mean_specialty_year_median,1.86694637618899
sbmtd_chrg_per_bene_specialty_year_median,1.8486883429655026
sbmtd_to_alowd_ratio,1.6001666933571872
bene_dual_share_lag1,1.4166548796332588
alowd_to_pymt_ratio_specialty_year_median,1.4077771039197804
bene_avg_risk_scre_lag1,1.4069200959485646
years_since_first_observed,1.2486092734467358
srvcs_per_bene_minus_specialty_year_median,1.1849915531178015
srvcs_per_bene_pct_rank_lag1,1.1324672807542449
alowd_to_pymt_ratio_specialty_year_pct_rank,1.121571218050491
bene_age_65_74_share,1.0741924268711154
drug_pymt_share,1.011309857233393
alowd_amt_per_bene_minus_specialty_year_median,0.9938299774269485
bene_cc_ph_afib_v2_pct,0.9847270895722212
stdzd_amt_per_bene_specialty_year_median,0.9826602714703383
alowd_amt_per_bene_specialty_year_pct_rank,0.978762023635731
drug_mdcr_stdzd_amt,0.961846762592291
alowd_to_pymt_ratio_minus_specialty_year_median,0.9599270350285845
tot_sbmtd_chrg_yoy_pct_change,0.9592974845043825
tot_benes_specialty_year_pct_rank,0.9535547870877121
tot_benes_specialty_year_median,0.9471147135424627
tot_mdcr_stdzd_amt_specialty_year_pct_rank,0.9460025582246978
bene_age_lt_65_cnt,0.94174647872554
bene_cc_ph_arthritis_v2_pct,0.9351908661916569
tot_mdcr_stdzd_amt_yoy_pct_change,0.93474626837405
tot_sbmtd_chrg_yoy_abs_change,0.9282137683212428
tot_srvcs_lag1,0.9242097551691377
sbmtd_to_pymt_ratio,0.8975590843718564
sbmtd_to_alowd_ratio_specialty_year_median,0.8700303546976439
tot_benes_minus_specialty_year_median,0.8626286150681467
bene_ndual_share,0.858136339998434
tot_srvcs_yoy_pct_change,0.8525290056941478
tot_srvcs_yoy_abs_change,0.8506148448991927
pymt_amt_per_bene_lag1,0.8419370719252178
log1p_pymt_amt_per_bene,0.8391216385604224
pymt_amt_per_bene_yoy_pct_change,0.8296763047459562
tot_mdcr_alowd_amt_yoy_abs_change,0.8209869582465422
log1p_alowd_amt_per_bene,0.8065312250489569
tot_mdcr_pymt_amt_yoy_pct_change,0.7977528909131152
bene_race_wht_cnt,0.7971578702574083
tot_mdcr_alowd_amt_yoy_pct_change,0.7916350826245284
med_mdcr_stdzd_amt,0.7909742924364254
log1p_srvcs_per_bene,0.7750199716326146
tot_mdcr_pymt_amt_lag1,0.7589646724274683
pymt_amt_per_bene_yoy_abs_change,0.7561536076069896
sbmtd_to_pymt_ratio_specialty_year_median,0.7458355984172496
bene_race_wht_share,0.7156213861664726
bene_feml_share,0.714670078704409
sbmtd_to_pymt_ratio_pct_rank_lag1,0.7106688142917511
sbmtd_to_alowd_ratio_minus_specialty_year_median,0.6858249976495773
med_tot_srvcs,0.669733843830372
tot_mdcr_stdzd_amt_lag1,0.667716938863728
bh_condition_pct_max,0.6675085659542398
pymt_amt_per_bene_specialty_year_pct_rank,0.6635252035442739
srvcs_per_bene_specialty_year_pct_rank,0.615245673161228
bene_dual_cnt,0.6029575052675248
stdzd_amt_per_bene,0.6008657221873532
tot_sbmtd_chrg_specialty_year_median,0.5762470410797763
bene_age_65_74_cnt,0.5744036689402867
srvcs_per_bene_pct_rank_yoy_change,0.551775344781355
tot_mdcr_pymt_amt_pct_rank_yoy_change,0.5507709836540312
bene_cc_ph_asthma_v2_pct,0.5338332317282649
srvcs_per_bene_yoy_abs_change,0.521300639569086
bene_cc_ph_diabetes_v2_pct,0.5061413625443449
bene_cc_bh_anxiety_v1_pct,0.5004280037608326
srvcs_per_bene_specialty_year_median,0.4986433156598528
tot_mdcr_pymt_amt_specialty_year_pct_rank,0.4981214305741725
tot_benes_yoy_abs_change,0.47727650548250433
sbmtd_to_pymt_ratio_minus_specialty_year_median,0.47607194661352403
med_tot_benes,0.47227283415053833
year_gap_from_prev,0.45950803996047546
provider_observed_year_count,0.4410392123260753
bh_condition_pct_mean,0.43445079736536885
bene_cc_ph_osteoporosis_v2_pct,0.43378336136012485
ph_condition_pct_mean_yoy_abs_change,0.4310928628432382
bene_avg_risk_scre_yoy_abs_change,0.4210415553521396
tot_mdcr_alowd_amt_specialty_year_median,0.4187800339831201
bene_race_othr_share,0.41616369668773256
log1p_sbmtd_chrg_per_bene,0.415701023741699
bene_age_lt_65_share,0.4060919689575165
tot_mdcr_alowd_amt_specialty_year_pct_rank,0.40203267369723217
tot_mdcr_alowd_amt_lag1,0.3948048729816858
ph_condition_pct_mean_minus_specialty_year_median,0.3872638333414697
bene_age_gt_84_cnt,0.3728367733850297
bene_dual_share_yoy_pct_change,0.3677326797590157
tot_mdcr_pymt_amt_pct_rank_lag1,0.36494448026110726
bene_race_othr_cnt,0.36385074982762045
sbmtd_chrg_per_srvc,0.36098575518175224
bene_cc_ph_copd_v2_pct,0.36018590554415475
bene_avg_risk_scre,0.35790115448577714
log1p_tot_mdcr_alowd_amt,0.35529318371164276
bene_feml_cnt,0.3551146275514924
tot_mdcr_stdzd_amt_specialty_year_median,0.34969305218285873
bene_cc_bh_alz_nonalzdem_v2_pct,0.345367655993786
ph_condition_pct_max,0.3346790937744605
sbmtd_to_pymt_ratio_yoy_abs_change,0.32681815917157986
sbmtd_chrg_per_bene_minus_specialty_year_median,0.32320932456204227
med_sbmtd_chrg,0.32155310538874365
bene_cc_ph_hypertension_v2_pct,0.31901603117344135
tot_mdcr_stdzd_amt_yoy_abs_change,0.3175725739789199
bene_cc_ph_stroke_tia_v2_pct,0.3171058569576408
drug_alowd_share,0.30162022842715236
sbmtd_to_pymt_ratio_pct_rank_yoy_change,0.2996454620970629
pymt_amt_per_bene_minus_specialty_year_median,0.2979384285376585
tot_srvcs_specialty_year_pct_rank,0.2946315198264283
log1p_tot_mdcr_pymt_amt,0.29219732132512866
tot_mdcr_pymt_amt_minus_specialty_year_median,0.28984563866067636
ph_condition_pct_mean_specialty_year_pct_rank,0.28981379720803274
sbmtd_to_pymt_ratio_lag1,0.2891734167840817
bene_dual_share_minus_specialty_year_median,0.284401737065259
log1p_stdzd_amt_per_bene,0.2835466301920962
bene_dual_share,0.2816687515637985
bene_ndual_cnt,0.2803946948959149
bene_race_api_cnt,0.2757613654436546
