feature,importance
bene_cc_ph_cancer6_v2_pct,2.7567116695123226
ph_condition_pct_mean_specialty_year_median,2.5252418437054165
pymt_amt_per_bene_specialty_year_median,2.356609566848578
stdzd_amt_per_bene_specialty_year_median,2.129511993091043
srvcs_per_bene_lag1,1.8912493870857119
alowd_amt_per_bene_specialty_year_median,1.687707399038956
bene_dual_share_specialty_year_median,1.6814687051804715
pymt_amt_per_bene_yoy_pct_change,1.4990529206681606
srvcs_per_bene,1.4434644846770939
log1p_stdzd_amt_per_bene,1.395178908118493
drug_pymt_share,1.3835744408096013
sbmtd_to_alowd_ratio_specialty_year_median,1.3512806250136322
tot_mdcr_pymt_amt_yoy_pct_change,1.3006198145572732
tot_mdcr_stdzd_amt_yoy_pct_change,1.2724403139071152
srvcs_per_bene_specialty_year_pct_rank,1.2182706405478143
bene_avg_risk_scre,1.1744343814139833
alowd_to_pymt_ratio,1.1062293001347971
tot_benes_minus_specialty_year_median,1.048263161093451
bene_cc_ph_diabetes_v2_pct,1.0173504381667684
drug_alowd_share,1.0108736159266778
bene_cc_ph_afib_v2_pct,0.9635678958320565
bene_age_65_74_share,0.9454289758350192
bene_race_wht_share,0.9290588675154215
log1p_stdzd_amt_per_srvc,0.8921202579172886
provider_observed_year_count,0.8745608099245396
alowd_to_pymt_ratio_specialty_year_pct_rank,0.8708420748783595
tot_mdcr_alowd_amt_lag1,0.8635650788466003
tot_sbmtd_chrg_yoy_pct_change,0.8553897396062057
alowd_amt_per_bene_minus_specialty_year_median,0.8519925363922399
years_since_first_observed,0.8489223306669408
tot_mdcr_alowd_amt_yoy_abs_change,0.8223538741338366
log1p_srvcs_per_bene,0.8080488887266585
tot_mdcr_alowd_amt_yoy_pct_change,0.7956608460786951
tot_benes_specialty_year_pct_rank,0.7751310258516904
sbmtd_to_pymt_ratio_lag1,0.7745576846486192
tot_srvcs_yoy_pct_change,0.7745075690541339
sbmtd_chrg_per_bene_specialty_year_pct_rank,0.7711871846630692
drug_mdcr_pymt_amt,0.754643340505128
alowd_to_pymt_ratio_minus_specialty_year_median,0.7532635246175292
bene_dual_share_lag1,0.7486003133773086
tot_mdcr_pymt_amt_pct_rank_lag1,0.7484599273460634
bene_age_lt_65_share,0.7463020631909087
sbmtd_to_alowd_ratio,0.7417237647021843
