feature,coefficient,abs_coefficient
num__tot_mdcr_pymt_amt_pct_rank_yoy_change,-0.13075778889649795,0.13075778889649795
num__alowd_to_pymt_ratio,0.08744320084877852,0.08744320084877852
num__srvcs_per_bene_pct_rank_lag1,0.08605631161930966,0.08605631161930966
num__alowd_to_pymt_ratio_minus_specialty_year_median,0.08344328338810214,0.08344328338810214
num__alowd_to_pymt_ratio_specialty_year_pct_rank,0.07662315365295227,0.07662315365295227
num__tot_mdcr_alowd_amt_yoy_abs_change,-0.07496259852483418,0.07496259852483418
num__tot_mdcr_stdzd_amt_yoy_abs_change,-0.07424166376414257,0.07424166376414257
num__tot_mdcr_pymt_amt_yoy_abs_change,-0.07272542182551658,0.07272542182551658
num__srvcs_per_bene_pct_rank_yoy_change,-0.07247112102526279,0.07247112102526279
num__tot_sbmtd_chrg_yoy_abs_change,-0.0620666538892399,0.0620666538892399
num__bene_dual_share_lag1,0.05861736708372973,0.05861736708372973
num__tot_benes_yoy_abs_change,-0.057339631796417,0.057339631796417
num__tot_benes_specialty_year_pct_rank,-0.055043718718614486,0.055043718718614486
num__bene_cc_ph_diabetes_v2_pct,0.04932250173757492,0.04932250173757492
num__sbmtd_to_alowd_ratio_specialty_year_pct_rank,-0.0485952176926198,0.0485952176926198
num__bene_cc_ph_cancer6_v2_pct,-0.047566320825657274,0.047566320825657274
num__bene_cc_bh_anxiety_v1_pct,0.04608844175231538,0.04608844175231538
num__tot_mdcr_pymt_amt_pct_rank_lag1,0.045134684080880144,0.045134684080880144
num__bene_dual_share,0.04497854320156522,0.04497854320156522
num__bene_ndual_share,-0.044901351520933414,0.044901351520933414
num__srvcs_per_bene_specialty_year_pct_rank,0.04482228170520069,0.04482228170520069
num__pymt_amt_per_bene_yoy_abs_change,-0.04353718494068281,0.04353718494068281
num__log1p_alowd_amt_per_bene,0.04212846736684555,0.04212846736684555
num__flag_top5pct_srvcs_per_bene_within_specialty_year,0.04114110667919443,0.04114110667919443
num__alowd_amt_per_bene_specialty_year_pct_rank,0.04041452784477569,0.04041452784477569
num__provider_observed_year_count,0.039939830492143426,0.039939830492143426
num__log1p_srvcs_per_bene,0.03943161377345769,0.03943161377345769
num__bene_dual_share_minus_specialty_year_median,0.03860148740381978,0.03860148740381978
num__bene_cc_ph_afib_v2_pct,-0.03845535982875721,0.03845535982875721
num__bene_age_lt_65_share,0.03817225883482184,0.03817225883482184
num__log1p_tot_benes,-0.036078673345717786,0.036078673345717786
num__pymt_amt_per_bene_lag1,0.03603504687252022,0.03603504687252022
num__tot_srvcs_yoy_abs_change,-0.03567526091450519,0.03567526091450519
num__bene_age_65_74_share,-0.035423472647525794,0.035423472647525794
num__sbmtd_to_pymt_ratio_yoy_pct_change,0.03471774569010531,0.03471774569010531
num__bene_cc_bh_alcohol_drug_v1_pct,0.03470919719757002,0.03470919719757002
num__flag_top5pct_tot_mdcr_alowd_amt_within_specialty_year,0.03443813710698962,0.03443813710698962
num__flag_top5pct_tot_mdcr_pymt_amt_within_specialty_year,0.034235789291396014,0.034235789291396014
num__flag_top1pct_srvcs_per_bene_within_specialty_year,0.03414814979624451,0.03414814979624451
num__bene_race_hspnc_share,0.03366748795566811,0.03366748795566811
num__bene_cc_ph_arthritis_v2_pct,0.032860967929330666,0.032860967929330666
num__log1p_pymt_amt_per_srvc,-0.030035068065291142,0.030035068065291142
num__sbmtd_to_pymt_ratio_pct_rank_lag1,-0.029909246520098534,0.029909246520098534
num__tot_sbmtd_chrg_specialty_year_pct_rank,-0.029289898934876477,0.029289898934876477
num__log1p_sbmtd_chrg_per_srvc,-0.029207218870042993,0.029207218870042993
num__years_since_first_observed,0.0290874678265783,0.0290874678265783
num__bene_cc_bh_depress_v1_pct,0.02893289030834536,0.02893289030834536
num__alowd_to_pymt_ratio_specialty_year_median,0.02888957368334214,0.02888957368334214
num__bene_cc_bh_alz_nonalzdem_v2_pct,0.02867205431130587,0.02867205431130587
num__tot_benes_yoy_pct_change,-0.028603699609387315,0.028603699609387315
num__bene_avg_age,-0.028510533493242878,0.028510533493242878
num__stdzd_amt_per_bene_specialty_year_pct_rank,0.027973973695015534,0.027973973695015534
num__bene_cc_bh_mood_v2_pct,0.027693245552550618,0.027693245552550618
num__bene_dual_share_specialty_year_pct_rank,0.027598952520476085,0.027598952520476085
num__log1p_stdzd_amt_per_bene,0.02691320192091049,0.02691320192091049
num__log1p_stdzd_amt_per_srvc,-0.026898409793942694,0.026898409793942694
num__tot_mdcr_alowd_amt_lag1,0.02673754258578862,0.02673754258578862
num__bene_ndual_cnt,-0.02654718825745641,0.02654718825745641
num__stdzd_to_pymt_ratio,0.02617757809105719,0.02617757809105719
num__tot_mdcr_pymt_amt_specialty_year_pct_rank,-0.025827357900427846,0.025827357900427846
num__bene_cc_ph_hypertension_v2_pct,0.025489067553826447,0.025489067553826447
num__tot_mdcr_stdzd_amt_lag1,0.02537941924138641,0.02537941924138641
num__srvcs_per_bene_yoy_abs_change,-0.02530148465109175,0.02530148465109175
num__tot_mdcr_pymt_amt_lag1,0.02513454591327395,0.02513454591327395
num__bene_age_65_74_cnt,-0.024962639010745042,0.024962639010745042
num__bene_cc_ph_copd_v2_pct,0.024367250621071777,0.024367250621071777
num__bene_dual_share_specialty_year_median,0.024238299687286684,0.024238299687286684
