rndrng_prvdr_type,count_top500
Family Practice,188
Internal Medicine,100
Podiatry,57
Clinical Laboratory,21
Neurology,20
Nurse Practitioner,19
Anesthesiology,18
Psychiatry,14
General Practice,13
Pain Management,10
Physical Medicine and Rehabilitation,9
Orthopedic Surgery,6
Otolaryngology,4
Emergency Medicine,3
Chiropractic,3
Endocrinology,3
Geriatric Medicine,2
Osteopathic Manipulative Medicine,2
Gastroenterology,2
Physician Assistant,1
Obstetrics & Gynecology,1
Cardiology,1
Interventional Pain Management,1
Rheumatology,1
Hand Surgery,1
